model_key,model_name,rank,image_id,manual_category,manual_note,table_prob_fake_orig,table_prob_fake_jpeg,table_prob_fake_drop,panel_path,status,error,xai_pred_orig,xai_prob_fake_orig,xai_pred_jpeg,xai_prob_fake_jpeg,original_image,jpeg_image,original_gradcam_overlay,jpeg_gradcam_overlay
resnet18,ResNet18,2,1457,face_or_human,"拟人主体+西装清楚,锐度大幅下降42%,西装纹理被压平,容易解释从fake改判real",0.840357065200805,0.0598528906702995,0.780504174530506,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/resnet18/rank_02_1457/1457_panel.jpg,skipped_existing,,,,,,,,,
resnet18,ResNet18,4,882,high_texture,"灰熊主体清楚,大量毛发高频纹理,降级很强(锐度-64%/高频-10%),非常适合展示",0.915292978286743,0.282187074422836,0.633105903863906,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/resnet18/rank_04_0882/0882_panel.jpg,skipped_existing,,,,,,,,,
resnet18,ResNet18,6,2354,complex_background,"沙漠中房屋,结构边缘清楚,锐度降幅最大(68%),边缘变糊明显,好解释",0.901213705539703,0.305644541978836,0.595569163560867,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/resnet18/rank_06_2354/2354_panel.jpg,skipped_existing,,,,,,,,,
vit_b16,ViT-B/16,2,2839,high_texture,"湖光山色场景非常清楚,纹理压平最强(锐度-73%/高频-13%),极佳示例",0.972403049468994,0.0204303562641143,0.951972693204879,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/vit_b16/rank_02_2839/2839_panel.jpg,skipped_existing,,,,,,,,,
vit_b16,ViT-B/16,4,279,complex_background,"人群+伞+彩色块状背景,复杂背景+人脸,变化适中,好讲背景依赖",0.939244747161865,0.0617162175476551,0.87752852961421,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/vit_b16/rank_04_0279/0279_panel.jpg,skipped_existing,,,,,,,,,
vit_b16,ViT-B/16,10,3662,face_or_human,"古典人物画,人物清楚,衣褶/肤质细节,变化适中,好解释",0.877142250537872,0.098930686712265,0.778211563825607,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/vit_b16/rank_10_3662/3662_panel.jpg,skipped_existing,,,,,,,,,
dinov3_vit_b16,DINOv3-ViT-B/16,1,0708,complex_background,"跑车主体清楚+反光车身+霓虹虚化背景,drop极高,适合讲背景bokeh依赖",0.998313188552856,0.0054710805416107,0.992842108011245,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_01_0708/0708_panel.jpg,generated,,fake,0.9983131885528564,real,0.0054710726253688335,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_01_0708/0708_original.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_01_0708/0708_jpeg_q30.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_01_0708/0708_original_gradcam_overlay.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_01_0708/0708_jpeg_q30_gradcam_overlay.jpg
dinov3_vit_b16,DINOv3-ViT-B/16,2,2009,high_texture,"华丽人物主体清楚,羽饰/纹样高频丰富,锐度降41%,纹理压平明显",0.989126861095428,0.0026918037328869,0.986435057362541,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_02_2009/2009_panel.jpg,generated,,fake,0.9891268610954285,real,0.0026918051298707724,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_02_2009/2009_original.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_02_2009/2009_jpeg_q30.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_02_2009/2009_original_gradcam_overlay.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_02_2009/2009_jpeg_q30_gradcam_overlay.jpg
dinov3_vit_b16,DINOv3-ViT-B/16,7,4019,high_texture,"苔藓/蛇/蘑菇,密集自然高频纹理+复杂背景,最契合背景纹理依赖叙事",0.993392288684845,0.0161327365785837,0.977259552106261,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_07_4019/4019_panel.jpg,generated,,fake,0.9933924078941345,real,0.01613256148993969,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_07_4019/4019_original.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_07_4019/4019_jpeg_q30.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_07_4019/4019_original_gradcam_overlay.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_07_4019/4019_jpeg_q30_gradcam_overlay.jpg
dinov3_vit_b16,DINOv3-ViT-B/16,8,4851,face_or_human,"男性面部特写,皮肤/雀斑/发丝细节被压平(锐度-36%),最易解释,首选",0.984686911106109,0.0079928329214453,0.976694078184664,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_08_4851/4851_panel.jpg,generated,,fake,0.9846872687339783,real,0.007992825470864773,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_08_4851/4851_original.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_08_4851/4851_jpeg_q30.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_08_4851/4851_original_gradcam_overlay.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_08_4851/4851_jpeg_q30_gradcam_overlay.jpg
dinov3_vit_b16,DINOv3-ViT-B/16,10,1806,high_texture,"火焰中人脸,高频破坏极强(锐度-88%/高频-24%),机制示例最强,视觉较强烈",0.977536559104919,0.0021487569902092,0.97538780211471,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_10_1806/1806_panel.jpg,generated,,fake,0.9775372743606567,real,0.002148746745660901,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_10_1806/1806_original.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_10_1806/1806_jpeg_q30.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_10_1806/1806_original_gradcam_overlay.jpg,/content/drive/MyDrive/MLP/Project5/analysis_outputs/xai_selected_baseline_cases/dinov3_vit_b16/rank_10_1806/1806_jpeg_q30_gradcam_overlay.jpg
